Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Nigeria,Sub-Saharan Africa,2019,5.265,0.696,1.111,0.245,0.426,0.215,0.041000000000000000,8.573226929,0.733517945,50.09999847,0.729366958,0.023591084,0.873140275,0.36673408700000000,0.4155,0.46191784700000000
North Cyprus,Western Europe,2019,5.718,1.263,1.252,1.042,0.41700000000000000,0.191,0.162,,0.803294539,,0.792734623,,0.640058875,0.37031021700000000,,0.25974214100000000
Norway,Western Europe ,2019,7.554000000000000,1.4880000000000000,1.5820000000000000,1.028,0.603,0.271,0.341,11.09277248,0.941784024,73.30000305,0.954044461,0.09848644600000000,0.27057179800000000,0.597986996,0.272230769,0.381677985
Pakistan,South Asia,2019,5.653,0.677,0.8860000000000000,0.535,0.313,0.22,0.098,,,,,,,,,
Palestinian Territories,Middle East and North Africa,2019,4.696000000000000,0.657,1.247,0.672,0.225,0.10300000000000000,0.066,,0.8325500490000000,,0.653488278,,0.829282761,0.40274956800000000,,0.485576689
Panama,Latin America and Caribbean,2019,6.321000000000000,1.149,1.442,0.91,0.516,0.109,0.054000000000000000,10.06139088,0.885721385,69.69999695,0.8829610940000000,-0.18649186200000000,0.868827522,0.406914115,0.529888889,0.548365295
Paraguay,Latin America and Caribbean,2019,5.743000000000000,0.855,1.475,0.777,0.514,0.184,0.08,9.417739868,0.8924871680000000,65.90000153,0.876052618,0.022566626,0.881786108,0.212079674,0.5118235290000000,0.428149819
Peru,Latin America and Caribbean,2019,5.697,0.96,1.274,0.8540000000000000,0.455,0.083,0.027000000000000000,9.47720623,0.809075952,68.40000153,0.814805925,-0.138691843,0.873601913,0.230489925,0.474555556,0.535570323
Philippines,Southeast Asia,2019,5.631,0.807,1.2930000000000000,0.657,0.5580000000000000,0.11700000000000000,0.107,9.028717995,0.84509474,62.0,0.909598589,-0.08507266600000000,0.748442113,0.79500258,0.4645,0.442804545
Poland,Central and Eastern Europe,2019,6.182,1.206,1.4380000000000000,0.884,0.483,0.11700000000000000,0.05,10.30880833,0.878268242,69.69999695,0.882885754,-0.232610121,0.6960573790000000,0.497986019,0.33875,0.280366361
Portugal,Western Europe,2019,5.693,1.2210000000000000,1.431,0.9990000000000000,0.508,0.047,0.025,10.28514767,0.8760825990000000,72.59999847,0.8823511,-0.23042632600000000,0.9151656030000000,0.43560499,0.367538462,0.46548175800000000
Qatar,Middle East and North Africa,2019,6.374,1.6840000000000000,1.3130000000000000,0.871,0.555,0.22,0.16700000000000000,,,,,,,,,
Romania,Central and Eastern Europe,2019,6.07,1.162,1.232,0.825,0.462,0.083,0.005,10.14917088,0.841905951,67.5,0.84754318,-0.218915522,0.9541307090000000,0.160088375,0.3658,0.399532795
Russia,Commonwealth of Independent States,2019,5.648,1.183,1.452,0.726,0.33400000000000000,0.08200000000000000,0.031,,,,,,,,,
